"title","ingredients","ratings"
"Loaded Kimchi Fries","[""1 (32-ounce) package frozen French fries "",""3 tablespoons canola oil "",""1 (8-ounce) container fresh small mozzarella cheese balls "",""1/4 cup original cheese dip (such as Cheez Whiz) "",""1/4 cup mayonnaise "",""3 tablespoons hot sauce (such as Sriracha chile sauce) "",""1 cup napa cabbage kimchi, drained "",""2 scallions, thinly sliced ""]",0
"Chocolate Chip Pancakes","[""¾ cup milk "",""2 tablespoons white vinegar "",""1 cup all-purpose flour "",""2 tablespoons white sugar "",""1 teaspoon baking powder "",""½ teaspoon baking soda "",""¼ teaspoon salt "",""1 large egg "",""2 tablespoons unsalted butter, melted "",""1 teaspoon vanilla extract "",""½ cup mini chocolate chips, or more to taste "",""  cooking spray ""]",0
"One Pan Chicken Gnocchi","[""1 teaspoon butter "",""2 teaspoons olive oil "",""2 (8 ounce) skinless, boneless chicken breasts "",""1 teaspoon Italian seasoning "",""salt and freshly ground black pepper to taste "",""2 teaspoons butter "",""1 pound gnocchi "",""2 cups bite-sized broccoli florets "",""1 zucchini, sliced into thin ribbons "",""1 yellow squash, cut into half moons "",""1/2 cup quartered mushrooms "",""1/4 teaspoon Italian seasoning "",""2 cloves garlic, minced "",""1/4 cup diced red bell pepper "",""2 teaspoons butter "",""2 tablespoons minced shallot (about 1 shallot) "",""1 cup chicken broth "",""3/4 cup half-and-half "",""1/4 cup heavy cream "",""2 tablespoons all-purpose flour "",""1 tablespoon lemon juice, or more to taste ""]",0
"Crispitos","[""1 quart vegetable oil, divided, for frying "",""1 pound ground beef "",""1 onion, chopped "",""1 clove garlic, minced "",""1 packet taco seasoning "",""10 flour tortillas "",""1/4 cup salsa con queso, divided, or to taste (optional) "",""2 cups grated Cheddar cheese "",""toothpicks ""]",0
"S’Mores in a Bag","[""2 snack-sized bags of cookies, such as Nutter Butter®, Teddy Grahams®, Mini Oreos® or Nilla Wafers® "",""1 1/2 ounces chocolate candy bar, broken into pieces, such as Reese’s® Peanut Butter Cups or Hershey’s® chocolate bar "",""6 jumbo marshmallows ""]",0
"4-Ingredient Slow Cooker Peach Cobbler","[""8 cups sliced fresh or frozen peaches, thawed "",""½ cup white sugar "",""  cooking spray "",""1 (15.25 ounce) package white cake mix "",""½ cup butter, cut into 8 pieces ""]",0
"Air Fryer Chicken Quesadillas","[""2 cups shredded cooked chicken "",""1 teaspoon chili powder "",""1 teaspoon ground cumin "",""1/4 teaspoon cayenne pepper, or to taste "",""8 (8 inch) flour tortillas "",""2 cups grated cheese (see Note) "",""16 wooden toothpicks "",""olive oil cooking spray ""]",4
"Jalapeno Popper Hash Brown Cups","[""6 slices bacon "",""72 tater tots (about 16 ounces) "",""4 ounces cream cheese, softened "",""2 cups shredded Cheddar cheese "",""2 jalapeno peppers, seeded and chopped "",""1/2 teaspoon garlic powder "",""3 jalapeno, thinly sliced, or as needed for garnish (optional) ""]",0
"Sloppy Joe Smash Burgers","[""1 1/2 teaspoons olive oil "",""1/3 cup diced onion "",""1/3 cup diced green bell pepper "",""1/4 teaspoon garlic powder "",""1/2 pound ground beef "",""1/2 teaspoon kosher salt "",""1/2 teaspoon freshly ground black pepper "",""1/2 cup Sloppy Joe sauce, plus more for serving "",""2 slices thick-cut American cheese "",""2 hamburger buns ""]",0
"Shrimp Cocktail Cream Cheese Dip","[""1 (8 ounce) package cream cheese, softened "",""1 (8 ounce) jar cocktail sauce "",""½ pound cooked baby shrimp "",""3  green onions, chopped "",""1 (2.25 ounce) can sliced black olives, drained ""]",0
